Unnamed: 0,Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,Home Team Initials,Away Team Initials,Score,GoalDifference,HomeWin
231,1970,21 Jun 1970 - 12:00 ,Final,Estadio Azteca,Mexico City ,Brazil,4.0,1.0,Italy, ,107412.0,1.0,1.0,BRA,ITA,4.0 - 1.0,3.0,True
232,1974,13 Jun 1974 - 17:00 ,Group 2,Waldstadion,Frankfurt/Main ,Brazil,0.0,0.0,Yugoslavia, ,62000.0,0.0,0.0,BRA,YUG,0.0 - 0.0,0.0,False
233,1974,14 Jun 1974 - 16:00 ,Group 1,Olympiastadion,Berlin West ,Germany FR,1.0,0.0,Chile, ,81100.0,1.0,0.0,FRG,CHI,1.0 - 0.0,1.0,True
234,1974,14 Jun 1974 - 19:30 ,Group 1,Volksparkstadion,Hamburg ,German DR,2.0,0.0,Australia, ,17000.0,0.0,0.0,GDR,AUS,2.0 - 0.0,2.0,True
235,1974,14 Jun 1974 - 19:30 ,Group 2,Westfalenstadion,Dortmund ,Zaire,0.0,2.0,Scotland, ,27000.0,0.0,2.0,ZAI,SCO,0.0 - 2.0,2.0,False
236,1974,15 Jun 1974 - 16:00 ,Group 3,Niedersachsenstadion,Hanover ,Uruguay,0.0,2.0,Netherlands, ,55100.0,0.0,1.0,URU,NED,0.0 - 2.0,2.0,False
237,1974,15 Jun 1974 - 16:00 ,Group 3,Rheinstadion,D�Sseldorf ,Sweden,0.0,0.0,Bulgaria, ,23800.0,0.0,0.0,SWE,BUL,0.0 - 0.0,0.0,False
238,1974,15 Jun 1974 - 18:00 ,Group 4,Olympiastadion,Munich ,Italy,3.0,1.0,Haiti, ,53000.0,0.0,0.0,ITA,HAI,3.0 - 1.0,2.0,True
239,1974,15 Jun 1974 - 18:00 ,Group 4,Neckarstadion,Stuttgart ,Poland,3.0,2.0,Argentina, ,32700.0,2.0,0.0,POL,ARG,3.0 - 2.0,1.0,True
240,1974,18 Jun 1974 - 16:00 ,Group 1,Volksparkstadion,Hamburg ,Australia,0.0,3.0,Germany FR, ,53300.0,0.0,2.0,AUS,FRG,0.0 - 3.0,3.0,False
241,1974,18 Jun 1974 - 19:30 ,Group 2,Waldstadion,Frankfurt/Main ,Scotland,0.0,0.0,Brazil, ,62000.0,0.0,0.0,SCO,BRA,0.0 - 0.0,0.0,False
242,1974,18 Jun 1974 - 19:30 ,Group 1,Olympiastadion,Berlin West ,Chile,1.0,1.0,German DR, ,28300.0,0.0,0.0,CHI,GDR,1.0 - 1.0,0.0,False
243,1974,18 Jun 1974 - 19:30 ,Group 2,Parkstadion,Gelsenkirchen ,Yugoslavia,9.0,0.0,Zaire, ,31700.0,6.0,0.0,YUG,ZAI,9.0 - 0.0,9.0,True
244,1974,19 Jun 1974 - 19:30 ,Group 3,Westfalenstadion,Dortmund ,Netherlands,0.0,0.0,Sweden, ,53700.0,0.0,0.0,NED,SWE,0.0 - 0.0,0.0,False
245,1974,19 Jun 1974 - 19:30 ,Group 3,Niedersachsenstadion,Hanover ,Bulgaria,1.0,1.0,Uruguay, ,13400.0,0.0,0.0,BUL,URU,1.0 - 1.0,0.0,False
246,1974,19 Jun 1974 - 19:30 ,Group 4,Olympiastadion,Munich ,Haiti,0.0,7.0,Poland, ,25300.0,0.0,5.0,HAI,POL,0.0 - 7.0,7.0,False
247,1974,19 Jun 1974 - 19:30 ,Group 4,Neckarstadion,Stuttgart ,Argentina,1.0,1.0,Italy, ,70100.0,1.0,1.0,ARG,ITA,1.0 - 1.0,0.0,False
248,1974,22 Jun 1974 - 16:00 ,Group 2,Waldstadion,Frankfurt/Main ,Scotland,1.0,1.0,Yugoslavia, ,56000.0,0.0,0.0,SCO,YUG,1.0 - 1.0,0.0,False
249,1974,22 Jun 1974 - 16:00 ,Group 1,Olympiastadion,Berlin West ,Australia,0.0,0.0,Chile, ,17400.0,0.0,0.0,AUS,CHI,0.0 - 0.0,0.0,False
250,1974,22 Jun 1974 - 16:00 ,Group 2,Parkstadion,Gelsenkirchen ,Zaire,0.0,3.0,Brazil, ,36200.0,0.0,1.0,ZAI,BRA,0.0 - 3.0,3.0,False
251,1974,22 June 1974 - 19:30 ,Group 1,Volksparkstadion,Hamburg ,German DR,1.0,0.0,Germany FR, ,60200.0,0.0,0.0,GDR,FRG,1.0 - 0.0,1.0,True
252,1974,23 Jun 1974 - 16:00 ,Group 3,Westfalenstadion,Dortmund ,Bulgaria,1.0,4.0,Netherlands, ,53300.0,0.0,2.0,BUL,NED,1.0 - 4.0,3.0,False
253,1974,23 Jun 1974 - 16:00 ,Group 4,Olympiastadion,Munich ,Argentina,4.0,1.0,Haiti, ,25900.0,2.0,0.0,ARG,HAI,4.0 - 1.0,3.0,True
254,1974,23 Jun 1974 - 16:00 ,Group 3,Rheinstadion,D�Sseldorf ,Sweden,3.0,0.0,Uruguay, ,28300.0,0.0,0.0,SWE,URU,3.0 - 0.0,3.0,True
255,1974,23 Jun 1974 - 16:00 ,Group 4,Neckarstadion,Stuttgart ,Poland,2.0,1.0,Italy, ,70100.0,2.0,0.0,POL,ITA,2.0 - 1.0,1.0,True
256,1974,26 Jun 1974 - 16:00 ,Group B,Rheinstadion,D�Sseldorf ,Yugoslavia,0.0,2.0,Germany FR, ,67385.0,0.0,1.0,YUG,FRG,0.0 - 2.0,2.0,False
257,1974,26 Jun 1974 - 19:30 ,Group A,Niedersachsenstadion,Hanover ,Brazil,1.0,0.0,German DR, ,59863.0,0.0,0.0,BRA,GDR,1.0 - 0.0,1.0,True
258,1974,26 Jun 1974 - 19:30 ,Group A,Parkstadion,Gelsenkirchen ,Netherlands,4.0,0.0,Argentina, ,56548.0,2.0,0.0,NED,ARG,4.0 - 0.0,4.0,True
259,1974,26 Jun 1974 - 19:30 ,Group B,Neckarstadion,Stuttgart ,Sweden,0.0,1.0,Poland, ,44955.0,0.0,1.0,SWE,POL,0.0 - 1.0,1.0,False
260,1974,30 Jun 1974 - 16:00 ,Group A,Niedersachsenstadion,Hanover ,Argentina,1.0,2.0,Brazil, ,39400.0,1.0,1.0,ARG,BRA,1.0 - 2.0,1.0,False
261,1974,30 Jun 1974 - 16:00 ,Group B,Waldstadion,Frankfurt/Main ,Poland,2.0,1.0,Yugoslavia, ,58000.0,1.0,1.0,POL,YUG,2.0 - 1.0,1.0,True
262,1974,30 Jun 1974 - 16:00 ,Group A,Parkstadion,Gelsenkirchen ,German DR,0.0,2.0,Netherlands, ,68348.0,0.0,1.0,GDR,NED,0.0 - 2.0,2.0,False
263,1974,30 Jun 1974 - 19:30 ,Group B,Rheinstadion,D�Sseldorf ,Germany FR,4.0,2.0,Sweden, ,67800.0,0.0,1.0,FRG,SWE,4.0 - 2.0,2.0,True
264,1974,03 Jul 1974 - 17:00 ,Group B,Waldstadion,Frankfurt/Main ,Poland,0.0,1.0,Germany FR, ,62000.0,0.0,0.0,POL,FRG,0.0 - 1.0,1.0,False
265,1974,03 Jul 1974 - 19:30 ,Group A,Westfalenstadion,Dortmund ,Netherlands,2.0,0.0,Brazil, ,53700.0,0.0,0.0,NED,BRA,2.0 - 0.0,2.0,True
266,1974,03 Jul 1974 - 19:30 ,Group A,Parkstadion,Gelsenkirchen ,Argentina,1.0,1.0,German DR, ,54254.0,1.0,1.0,ARG,GDR,1.0 - 1.0,0.0,False
267,1974,03 Jul 1974 - 19:30 ,Group B,Rheinstadion,D�Sseldorf ,Sweden,2.0,1.0,Yugoslavia, ,41300.0,1.0,1.0,SWE,YUG,2.0 - 1.0,1.0,True
268,1974,06 Jul 1974 - 16:00 ,Match for third place,Olympiastadion,Munich ,Brazil,0.0,1.0,Poland, ,77100.0,0.0,0.0,BRA,POL,0.0 - 1.0,1.0,False
269,1974,07 July 1974 - 16:00 ,Final,Olympiastadion,Munich ,Netherlands,1.0,2.0,Germany FR, ,78200.0,1.0,2.0,NED,FRG,1.0 - 2.0,1.0,False
270,1978,01 Jun 1978 - 15:00 ,Group 2,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Germany FR,0.0,0.0,Poland, ,67579.0,0.0,0.0,FRG,POL,0.0 - 0.0,0.0,False
271,1978,02 Jun 1978 - 13:45 ,Group 1,Estadio Jos� Mar�a Minella,Mar Del Plata ,Italy,2.0,1.0,France, ,42373.0,1.0,1.0,ITA,FRA,2.0 - 1.0,1.0,True
272,1978,02 Jun 1978 - 16:45 ,Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Tunisia,3.0,1.0,Mexico, ,17396.0,0.0,1.0,TUN,MEX,3.0 - 1.0,2.0,True
273,1978,02 Jun 1978 - 19:15 ,Group 1,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Argentina,2.0,1.0,Hungary, ,71615.0,1.0,1.0,ARG,HUN,2.0 - 1.0,1.0,True
274,1978,03 Jun 1978 - 13:45 ,Group 3,Estadio Jos� Mar�a Minella,Mar Del Plata ,Sweden,1.0,1.0,Brazil, ,32569.0,1.0,1.0,SWE,BRA,1.0 - 1.0,0.0,False
275,1978,03 Jun 1978 - 13:45 ,Group 3,Jose Amalfitani,Buenos Aires ,Austria,2.0,1.0,Spain, ,40841.0,1.0,1.0,AUT,ESP,2.0 - 1.0,1.0,True
276,1978,03 Jun 1978 - 16:45 ,Group 4,Estadio Ol�mpico Chateau Carreras,Cordoba ,Peru,3.0,1.0,Scotland, ,37927.0,1.0,1.0,PER,SCO,3.0 - 1.0,2.0,True
277,1978,03 Jun 1978 - 16:45 ,Group 4,San Martin,Mendoza ,Netherlands,3.0,0.0,IR Iran, ,33431.0,1.0,0.0,NED,IRN,3.0 - 0.0,3.0,True
278,1978,06 Jun 1978 - 13:45 ,Group 1,Estadio Jos� Mar�a Minella,Mar Del Plata ,Italy,3.0,1.0,Hungary, ,26533.0,2.0,0.0,ITA,HUN,3.0 - 1.0,2.0,True
279,1978,06 Jun 1978 - 16:45 ,Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Poland,1.0,0.0,Tunisia, ,9624.0,1.0,0.0,POL,TUN,1.0 - 0.0,1.0,True
280,1978,06 Jun 1978 - 16:45 ,Group 2,Estadio Ol�mpico Chateau Carreras,Cordoba ,Germany FR,6.0,0.0,Mexico, ,35258.0,4.0,0.0,FRG,MEX,6.0 - 0.0,6.0,True
281,1978,06 Jun 1978 - 19:15 ,Group 1,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Argentina,2.0,1.0,France, ,71666.0,1.0,0.0,ARG,FRA,2.0 - 1.0,1.0,True
282,1978,07 Jun 1978 - 13:45 ,Group 3,Estadio Jos� Mar�a Minella,Mar Del Plata ,Brazil,0.0,0.0,Spain, ,34771.0,0.0,0.0,BRA,ESP,0.0 - 0.0,0.0,False
283,1978,07 Jun 1978 - 13:45 ,Group 3,Jose Amalfitani,Buenos Aires ,Austria,1.0,0.0,Sweden, ,41424.0,1.0,0.0,AUT,SWE,1.0 - 0.0,1.0,True
284,1978,07 Jun 1978 - 16:45 ,Group 4,Estadio Ol�mpico Chateau Carreras,Cordoba ,Scotland,1.0,1.0,IR Iran, ,7938.0,1.0,0.0,SCO,IRN,1.0 - 1.0,0.0,False
285,1978,07 Jun 1978 - 16:45 ,Group 4,San Martin,Mendoza ,Netherlands,0.0,0.0,Peru, ,28125.0,0.0,0.0,NED,PER,0.0 - 0.0,0.0,False
286,1978,10 Jun 1978 - 15:10 ,Group 1,Estadio Jos� Mar�a Minella,Mar Del Plata ,France,3.0,1.0,Hungary, ,23127.0,3.0,1.0,FRA,HUN,3.0 - 1.0,2.0,True
